Name	M_*	SFR	M_BH	MBH Error	Method
#	(log_10 ${M}_{\odot }$)	(log_10 ${M}_{\odot }$ yr^-1)	(log_10 ${M}_{\odot }$)	(log_10 ${M}_{\odot }$)			
Centaurus A	10.904	0.213	7.755	0.084	star
Circinus	10.200	-0.010	6.057	0.105	maser
IC 1459	11.381	-0.611	9.394	0.079	star
IC 4296	11.567	-0.753	9.114	0.073	gas
M31	10.731	-0.519	8.155	0.161	star
M66	10.840	0.536	6.929	0.048	star
M81	10.764	-0.356	7.813	0.129	star, gas
M87	11.519	-1.335	9.789	0.031	star
NGC 0307	10.772	-0.567	8.602	0.060	star
NGC 0524	11.086	-0.559	8.938	0.053	star
NGC 0821	10.779	-1.189	8.217	0.210	star
NGC 1023	10.756	-0.730	7.616	0.055	star
NGC 1068	11.271	1.304	6.924	0.245	maser
NGC 1194	10.806	0.194	7.850	0.051	maser
NGC 1316	11.594	-0.187	8.176	0.254	star
NGC 1332	11.060	-0.739	9.161	0.076	star
NGC 1398	11.375	-0.067	8.033	0.083	star
NGC 1399	11.297	-1.513	8.945	0.306	star
NGC 1407	11.495	-1.110	9.653	0.079	star
NGC 1550	11.100	-0.588	9.568	0.067	star
NGC 2273	10.731	0.416	6.935	0.036	maser
NGC 2549	10.172	-1.706	7.161	0.367	star
NGC 2787	10.022	-1.750	7.610	0.088	gas
NGC 2960	10.925	0.265	7.033	0.049	maser
NGC 2974	11.354	-0.791	8.230	0.091	star
NGC 3079	10.683	0.782	6.398	0.049	maser
NGC 3115	10.789	-2.146	8.953	0.095	star
NGC 3227	10.882	0.398	7.322	0.232	star
NGC 3245	10.698	-0.306	8.378	0.114	gas
NGC 3368	10.689	-0.222	6.875	0.076	star
NGC 3393	10.943	0.439	7.196	0.330	maser
NGC 3414	10.797	-1.047	8.400	0.071	star
NGC 3585	11.126	-1.391	8.517	0.127	star
NGC 3607	11.097	-0.319	8.137	0.157	star
NGC 3842	11.577	0.382	9.959	0.139	star
NGC 3923	11.234	-1.766	9.449	0.115	star
NGC 3998	10.548	-1.210	8.927	0.052	star
NGC 4151	10.837	0.051	7.813	0.076	star
NGC 4258	10.721	-0.080	7.577	0.030	maser
NGC 4261	11.427	-1.359	8.723	0.097	gas
NGC 4291	10.664	-1.193	8.990	0.155	star
NGC 4472	11.663	-1.337	9.398	0.037	star
NGC 4594	11.322	-0.412	8.823	0.045	star
NGC 4697	10.832	-1.349	8.305	0.112	star
NGC 4699	11.140	0.125	8.246	0.052	star
NGC 4736	10.539	-0.061	6.831	0.123	star
NGC 4826	10.774	0.009	6.193	0.131	star
NGC 4889	11.836	0.034	10.320	0.437	star
NGC 5018	11.319	-0.080	8.021	0.078	star
NGC 5077	11.070	-0.976	8.932	0.268	gas
NGC 5328	11.410	-0.390	9.672	0.158	star
NGC 5419	11.686	-0.767	9.860	0.144	star
NGC 5846	11.204	-1.453	9.041	0.058	star
NGC 6086	11.475	0.310	9.573	0.167	star
NGC 6251	11.641	0.707	8.788	0.155	gas
NGC 7052	11.450	0.176	8.598	0.230	gas
NGC 7457	10.107	-1.869	6.954	0.302	star
NGC 7582	10.953	1.066	7.741	0.205	gas
NGC 7619	11.395	-0.353	9.398	0.108	star
NGC 7768	11.576	0.151	9.127	0.181	star
UGC 3789	10.775	0.351	6.985	0.085	maser
3C120	11.448	1.155	7.730	0.150	RM
Ark 120	11.555	0.800	8.050	0.170	RM
IC 1481	10.843	0.689	7.150	0.130	maser
Mrk 110	10.822	0.257	7.280	0.210	RM
Mrk 279	11.384	1.035	7.400	0.230	RM
Mrk 290	10.687	-0.029	7.260	0.170	RM
Mrk 335	11.251	0.403	7.210	0.160	RM
Mrk 509	11.525	1.108	8.030	0.150	RM
Mrk 590	11.478	0.610	7.550	0.180	RM
Mrk 79	11.230	0.820	7.580	0.230	RM
Mrk 817	11.304	1.216	7.570	0.180	RM
NGC 1600	12.175	-0.077	10.230	0.040	star
NGC 3516	10.942	0.066	7.370	0.160	RM
NGC 3783	10.981	0.434	7.360	0.190	RM
NGC 4253	10.737	0.734	6.800	0.170	RM
NGC 4593	11.164	0.381	6.860	0.210	RM
NGC 5273	10.099	-0.961	6.610	0.270	RM
NGC 5548	11.165	0.445	7.700	0.130	RM
NGC 5765b	11.209	1.434	7.660	0.030	maser
NGC 6814	10.843	0.286	7.020	0.170	RM
NGC 7469	11.011	1.434	6.940	0.160	RM
NGC 1097	11.009	0.766	8.140	0.090	CO
NGC 1275	11.646	1.109	8.980	0.200	gas
NGC 3665	11.194	0.246	8.760	0.090	CO
NGC 3706	11.361	-1.002	9.770	0.060	star
NGC 4303	10.955	0.674	6.510	0.740	gas
NGC 4742	10.226	-1.175	7.100	0.150	star
NGC 5495	11.392	0.963	7.080	0.300	maser
NGC 7332	10.656	-1.279	7.080	0.180	star
