N0002	00 01 36.39	+00 14 09.4	10.43	 1.517	239.20	  167.5	    17.3
N0003	00 20 23.46	+00 40 34.5	11.20	 0.611	256.60	  296.0	    90.4
N0004	00 01 42.39	+05 50 40.1	11.21	 0.551	211.30	 -137.2	  -101.0
N0005	00 12 01.26	+06 31 22.6	10.96	 0.727	232.90	   26.7	  -137.5
N0006	00 45 05.10	+00 36 30.4	10.88	 1.225	264.90	  228.1	  -224.1
N0007	00 36 58.64	+02 53 03.3	11.89	 0.043	318.60	  -98.0	    17.2
N0008	00 40 29.21	+02 45 55.7	11.07	 0.719	207.80	  209.8	    77.4
N0009	00 59 02.27	+02 39 54.9	10.94	 1.146	226.00	  444.2	   169.0
N0010	00 32 23.83	+06 33 15.7	11.38	 0.343	265.80	  255.5	   160.4
N0011	00 48 52.87	+06 04 23.2	11.56	 0.660	230.40	  273.7	   149.6
N0012	00 53 16.89	+07 00 38.0	11.72	 0.887	349.00	  358.2	   264.7
N0013	00 52 59.72	+05 09 04.3	11.24	 0.456	220.30	  142.8	    45.8
N0014	01 21 30.62	+00 14 59.1	11.05	 1.048	422.90	  387.4	   240.5
N0015	01 11 24.62	+03 06 37.5	11.49	 0.313	210.40	 -263.3	  -199.2
N0016	01 19 16.10	+04 02 57.6	10.70	 1.059	222.60	  -57.5	  -128.2
N0017	01 06 23.38	+05 27 34.4	11.66	 0.437	304.70	  179.7	  -171.0
N0018	01 22 58.30	+05 28 22.7	11.15	 0.572	213.50	   46.0	   -54.6
N0019	01 31 22.74	+01 43 15.1	11.58	 0.460	226.70	  172.9	  -147.9
N0020	01 31 47.70	+00 38 33.6	11.52	 0.413	417.40	 -232.6	   -42.5
N0021	01 44 54.42	+00 44 53.7	10.96	 0.966	237.20	 -353.7	  -277.1
N0022	01 38 19.95	+06 27 14.0	11.19	 0.813	335.60	 -425.0	     1.2
N0023	01 49 30.77	+07 07 42.7	11.01	 0.609	220.60	  -14.4	  -143.0
N0024	02 01 19.85	+01 13 11.7	12.24	 0.160	517.40	  727.3	    46.5
N0025	02 10 07.44	+02 12 24.6	10.89	 0.660	222.80	  189.7	   160.8
N0026	02 19 52.69	+02 08 05.1	11.59	 0.358	225.20	   80.3	    21.5
N0027	02 11 52.61	+03 36 17.7	11.41	 0.550	207.70	  477.0	   103.9
N0028	03 24 33.62	+01 20 56.7	11.04	 0.727	200.30	  -96.8	   -16.5
N0029	03 12 36.43	+03 18 35.6	11.03	 1.041	202.10	   31.8	    14.0
N0030	03 01 29.28	+07 10 27.7	11.33	 0.841	202.20	  196.1	  -296.2
N0031	04 14 38.90	+02 20 14.2	10.71	 0.375	262.60	 -169.6	   -68.3
N0032	04 18 22.70	+01 23 39.5	11.01	 0.578	213.00	 -146.5	    53.8
N0033	04 22 05.79	+04 25 59.0	10.94	 0.575	223.30	  106.3	  -132.4
N0034	04 36 42.01	+01 33 00.1	11.29	 0.763	306.10	  374.8	   114.1
N0035	04 33 58.28	+00 37 14.6	11.00	 0.535	201.10	    9.2	   -86.5
N0036	04 54 59.59	+00 19 50.0	11.57	 0.167	261.40	 -157.6	  -100.0
N0037	04 55 34.34	+01 22 49.5	10.82	 0.728	276.40	  106.0	    58.1
N0038	04 56 28.26	+02 40 10.5	11.14	 0.409	220.10	 -156.2	    20.4
N0039	04 41 24.79	+05 08 07.2	11.14	 0.688	274.10	  244.3	   167.8
N0040	04 33 04.39	+06 16 37.7	11.26	 0.894	555.90	  728.2	   313.5
N0041	04 43 38.16	+05 37 38.4	11.48	 0.343	242.10	   21.7	   246.1
N0042	04 52 28.46	+06 24 04.0	11.32	 0.512	221.00	   18.3	  -146.1
N0043	05 14 46.13	+00 27 53.6	11.27	 0.553	238.00	  -21.9	   -43.6
N0044	05 15 53.85	+00 28 36.4	11.47	 0.526	247.40	   16.8	  -110.4
N0045	05 16 15.27	+01 21 51.0	11.06	 1.161	283.00	 -326.6	   193.6
N0046	05 26 24.13	+01 03 51.1	10.93	 0.630	240.10	  353.8	  -105.4
N0047	05 11 21.38	+01 53 29.5	10.58	 1.105	231.40	  -79.0	    -9.1
N0048	05 07 38.43	+02 27 55.9	11.09	 0.566	250.70	 -336.0	  -224.0
N0049	05 16 40.94	+02 59 03.2	10.78	 1.373	274.00	  -17.2	   210.1
N0050	05 22 44.41	+02 11 20.7	11.90	-0.102	406.90	 -225.4	   -96.3
N0051	05 24 22.47	+02 01 42.7	10.55	 0.628	294.10	  -68.5	   -35.5
N0052	05 03 10.43	+04 16 18.4	10.62	 0.629	208.50	   61.4	   -32.1
N0053	05 10 06.80	+04 45 31.7	10.92	 0.630	202.70	   65.7	   -30.8
N0054	05 21 05.71	+04 57 53.6	11.47	 0.262	270.80	   91.1	    42.4
N0055	05 19 24.56	+04 10 15.8	11.15	 0.625	292.80	  333.6	    42.4
N0056	05 29 15.74	+03 47 53.1	11.01	 0.593	421.30	   -1.2	    15.2
N0057	05 25 21.95	+04 02 42.0	11.17	 0.817	225.30	  161.1	   117.0
N0058	05 02 21.74	+06 44 14.1	10.86	 0.577	212.90	  212.4	   -18.8
N0059	05 14 24.61	+05 59 23.4	10.53	 1.351	293.20	  153.9	   -27.4
N0060	05 23 08.23	+06 40 00.3	10.55	 1.020	274.80	   41.2	    44.9
N0061	05 30 16.92	+00 18 37.3	11.13	 0.351	201.50	  -58.0	    98.2
N0062	05 30 54.88	+00 17 50.1	11.07	 1.143	208.10	  208.6	    92.5
N0063	05 33 49.56	+01 42 24.9	10.46	 2.244	272.10	 -125.0	    10.8
N0064	05 38 25.70	+05 06 14.8	11.11	 0.543	219.40	  -70.5	   -70.2
N0065	05 44 50.59	+04 44 29.7	10.47	 1.450	275.00	    9.2	   -17.3
N0066	05 33 01.15	+07 11 10.7	11.31	 0.715	261.40	   11.2	   -52.3
N0067	05 33 18.87	+05 49 11.7	11.05	 0.704	214.20	 -121.0	   -67.6
N0068	06 06 22.15	+00 36 10.4	11.50	 0.455	273.90	 -139.9	   100.8
N0069	06 15 52.49	+00 43 49.0	10.93	 0.978	256.30	 -111.0	   -28.6
N0070	06 28 52.38	+01 12 42.3	10.70	 0.573	205.40	  149.3	   -71.1
N0071	06 14 18.68	+02 13 50.5	10.93	 0.490	410.60	   86.7	    -2.7
N0072	06 23 52.70	+03 09 25.8	10.65	 0.694	203.20	  -27.1	    19.7
N0073	06 01 34.12	+05 11 53.9	10.63	 0.837	214.50	  -76.0	   -48.2
N0074	06 28 34.57	+05 29 08.5	11.56	 0.361	285.40	 -263.1	   165.2
N0075	06 04 06.82	+06 18 30.1	12.14	-0.214	291.10	  409.9	   227.9
N0076	06 09 00.33	+06 16 13.5	10.55	 1.328	296.30	  -68.0	   -94.3
N0077	06 09 45.19	+06 48 02.4	11.07	 0.416	225.50	  -67.1	   -94.5
N0078	06 50 51.46	+01 31 34.3	10.73	 0.605	499.20	 -162.6	   320.7
N0079	06 47 38.32	+00 31 18.1	11.05	 0.443	221.40	  -84.8	   534.1
N0080	06 41 18.28	+02 03 16.6	10.75	 0.579	222.60	  -12.7	   -10.0
N0081	06 52 46.49	+01 58 25.6	10.71	 0.401	212.90	 -191.9	    64.2
N0082	06 36 31.31	+05 19 53.1	11.41	 0.053	301.40	  293.1	  -105.9
N0083	06 35 32.46	+04 51 15.3	10.77	 0.527	260.40	  138.0	    34.7
N0084	06 35 54.36	+05 18 48.7	11.41	-0.147	503.70	 -409.9	   103.3
N0085	06 40 12.98	+05 10 43.5	10.32	 0.746	232.50	 -174.3	   -55.0
N0086	06 57 54.32	+04 55 01.8	11.93	 0.575	264.40	 -358.5	   171.4
N0087	06 40 46.66	+07 10 53.0	10.91	 0.419	317.90	  -33.4	  -128.0
N0088	06 42 29.46	+07 02 35.9	10.38	 1.507	229.60	  -84.0	    45.1
N0089	07 11 49.99	+00 51 16.6	11.48	 0.319	236.10	  -40.9	  -121.7
N0090	07 13 21.20	+00 45 36.1	12.12	-0.043	280.00	  355.6	   177.3
N0091	07 11 06.78	+00 16 35.2	11.03	 1.152	226.00	 -288.6	   -97.4
N0092	07 19 41.57	+01 32 10.1	11.11	 0.370	209.80	  196.8	   -57.0
N0093	07 06 52.44	+03 32 56.5	10.49	 1.078	206.30	   82.6	   110.0
N0094	07 14 28.71	+02 44 25.3	11.21	 0.385	218.10	  -52.9	   -27.8
N0095	07 13 36.29	+03 05 43.5	10.58	 1.129	229.70	   96.2	  -164.6
N0096	07 09 20.08	+05 04 35.2	11.34	 0.171	274.10	  162.4	    83.6
N0097	07 26 00.16	+05 35 40.8	11.14	 0.783	215.00	  239.7	   102.9
N0098	07 04 50.97	+07 20 40.0	11.03	 0.810	319.70	  102.9	    89.2
N0099	07 20 27.98	+06 51 31.8	10.63	 0.535	206.50	   -7.1	   -18.5
N0100	07 37 25.43	+00 05 11.1	10.70	 0.527	205.40	 -113.8	  -164.3
N0101	07 56 55.88	+01 21 43.4	10.77	 1.279	206.50	   63.1	    98.8
N0102	07 35 14.85	+02 14 30.7	10.40	 0.590	223.90	   48.8	  -122.0
N0103	07 36 31.60	+02 13 56.8	11.04	 0.508	387.10	  488.7	  -264.7
N0104	07 35 05.82	+02 45 13.9	10.80	 0.402	226.50	    6.5	    87.3
N0105	07 39 40.62	+02 48 55.5	10.81	 0.292	216.60	   80.0	   -48.9
N0106	07 47 00.29	+02 03 22.1	11.24	 0.425	206.00	 -150.9	   -24.6
N0107	07 51 30.59	+02 44 24.2	10.72	 0.549	271.90	   96.4	   -75.3
N0108	07 55 44.90	+02 38 40.7	10.61	 0.972	201.30	  147.9	    -7.3
N0109	07 37 02.90	+05 35 15.2	10.62	 0.675	242.30	  158.4	   -11.3
N0110	07 38 04.84	+04 54 18.9	10.44	 1.045	207.60	  -52.5	   -46.3
N0111	07 32 07.18	+06 36 50.9	10.97	 1.228	274.70	   39.3	    62.9
N0112	07 34 29.46	+07 08 24.4	11.00	 0.297	293.20	    0.9	   -56.9
N0113	07 34 55.04	+06 15 58.2	11.15	 0.682	224.40	 -235.4	   136.8
N0114	07 35 31.96	+05 45 10.5	10.71	 0.669	202.60	  -72.8	   -53.0
N0115	07 40 57.03	+05 45 52.6	10.12	 1.399	200.40	  -31.4	   -49.6
N0116	07 45 44.56	+07 28 37.0	11.05	 0.480	252.50	  -69.5	   -99.3
N0117	07 58 35.33	+07 25 00.6	10.85	 0.632	212.70	 -275.5	   134.5
N0118	07 59 33.52	+05 49 13.0	11.32	 0.199	229.00	  285.4	    -4.1
N0119	08 12 37.83	+00 09 54.5	10.91	 0.887	205.80	  104.6	   148.4
N0120	08 29 42.80	+01 42 00.9	11.14	 0.614	221.00	  -53.3	   -24.8
N0121	08 23 56.97	+00 27 27.4	11.48	 0.506	280.00	 -382.8	     9.2
N0122	08 20 37.08	+02 22 44.8	11.18	 0.292	222.90	 -181.3	    93.1
N0123	08 02 46.88	+05 26 30.9	10.61	 1.180	270.60	  163.6	   -14.7
N0124	08 03 21.98	+04 08 10.4	11.09	 0.865	207.80	 -156.4	   256.6
N0125	08 21 13.62	+04 22 40.2	10.87	 0.344	314.50	 1131.2	  -420.9
N0126	08 25 28.54	+04 40 56.8	11.12	 0.672	200.30	 -313.1	   136.9
N0127	08 30 00.43	+00 43 20.2	11.13	 0.383	218.20	  -16.2	    20.1
N0128	08 34 00.12	+00 57 09.2	11.17	 0.344	202.70	  109.0	  -108.2
N0129	08 44 25.72	+01 51 36.3	10.70	 0.929	241.50	 -153.0	   -79.9
N0130	08 45 56.12	+01 42 47.8	11.12	 0.372	225.50	  -24.2	    79.1
N0131	08 39 40.58	+03 37 39.5	10.50	 1.430	249.50	  164.0	  -154.5
N0132	08 41 12.90	+04 24 53.3	11.14	 0.981	206.10	  169.4	   -37.7
N0133	08 54 12.30	+05 18 01.2	11.20	 0.631	238.10	  134.7	   -77.9
N0134	08 53 50.17	+05 08 07.6	10.47	 1.108	228.50	   -7.4	    80.5
N0135	08 58 29.43	+03 51 35.2	10.82	 1.320	282.40	 -168.6	   -53.7
N0136	08 56 51.50	+04 13 06.2	11.53	 0.429	333.10	 -155.1	   119.7
N0137	08 32 28.14	+05 41 13.7	11.10	 0.335	238.00	    3.9	  -193.3
N0138	08 39 18.48	+06 03 05.4	11.09	 1.293	202.60	   64.2	   -62.8
N0139	08 40 20.89	+06 52 22.0	10.96	 1.379	218.40	  -47.9	   -66.2
N0140	09 08 28.58	+00 54 06.0	10.91	 1.018	332.30	  -92.3	  -109.8
N0141	09 10 03.87	+01 44 10.0	11.17	 0.532	220.20	 -241.3	    -3.4
N0142	09 04 17.61	+03 59 59.2	11.26	 0.241	204.40	  -61.0	    55.7
N0143	09 09 31.22	+02 59 32.4	10.74	 1.464	229.00	 -105.5	    73.2
N0144	09 04 47.15	+07 27 03.3	10.85	 0.668	205.70	 -316.4	    -4.5
N0145	09 13 56.99	+06 53 06.3	11.19	 1.126	317.80	   70.6	    42.9
N0146	09 11 53.79	+06 48 26.4	11.20	 0.756	342.60	 -358.9	    99.6
N0147	09 15 09.76	+05 32 34.4	11.00	 0.472	259.00	  -71.3	   -39.6
N0148	09 10 10.01	+05 40 01.8	10.76	 1.135	246.40	    7.1	    -9.9
N0149	09 37 52.30	+01 18 45.2	10.89	 0.940	235.60	   69.0	   -41.0
N0150	09 40 59.79	+03 56 01.5	10.92	 0.807	216.00	  -94.7	    57.2
N0151	10 01 52.90	+02 12 33.8	11.12	 0.490	351.90	 -221.5	    38.0
N0152	10 00 57.92	+02 35 36.8	11.09	 0.490	284.60	  176.6	  -161.5
N0153	10 27 53.31	+06 21 00.5	11.12	 0.858	253.90	 -192.4	   -69.5
N0154	10 22 30.60	+07 26 30.1	11.57	 0.133	240.00	  183.7	    -4.4
N0155	10 39 44.81	+02 18 24.1	10.80	 0.740	201.60	  100.5	   107.3
N0157	11 09 06.04	+05 39 56.4	10.88	 0.682	377.60	 -135.1	   189.5
N0158	11 30 35.76	+04 17 28.1	11.26	 0.782	278.70	 -358.4	    27.3
N0159	11 48 05.65	+03 39 28.5	11.20	 0.693	294.60	 -363.4	   156.5
N0160	11 54 20.63	+03 30 08.8	11.52	 0.145	208.70	  -29.8	  -148.7
N0161	11 44 41.63	+05 16 09.8	11.40	 0.364	270.80	  118.4	   178.9
N0162	12 11 42.20	+04 59 16.8	11.12	 0.652	478.00	 -505.0	    61.3
N0163	12 11 19.65	+03 50 02.6	10.91	 0.618	201.20	 -120.9	   -26.9
N0164	12 25 20.52	+04 31 30.1	11.15	 0.576	325.50	  -75.8	   -57.0
N0165	12 02 44.10	+05 50 51.8	10.95	 0.826	242.40	  -18.0	    47.7
N0166	12 34 18.80	+00 34 24.4	11.12	 0.739	220.60	 -304.6	     8.3
N0167	12 31 18.00	+02 43 58.3	11.25	 0.822	262.80	  339.6	  -449.5
N0168	12 57 13.97	+03 28 00.8	11.17	 0.968	252.00	  -41.2	  -215.0
N0169	13 34 24.10	+02 24 01.4	10.97	 0.954	250.00	  132.7	  -136.0
N0170	13 47 26.92	+00 35 15.6	11.61	 0.723	206.30	  351.3	  -113.7
N0171	13 42 35.92	+00 28 05.8	11.51	 0.338	242.90	 -214.1	  -227.0
N0172	13 57 17.32	+02 38 59.3	10.86	 0.802	209.30	   72.8	    12.7
N0173	13 56 58.05	+04 23 21.6	11.08	 0.620	212.90	   28.4	  -193.8
N0174	13 39 02.77	+05 14 24.7	11.10	 0.765	203.40	   16.6	    -7.5
N0175	13 40 25.53	+07 08 53.1	11.71	 0.267	254.80	 -267.5	    42.5
N0176	13 42 23.11	+05 07 06.4	11.34	 0.830	225.20	   68.8	  -147.5
N0177	13 50 36.75	+07 08 59.1	10.83	 1.344	312.90	 -138.6	  -232.3
N0178	13 53 31.81	+05 14 36.3	11.09	 0.705	201.30	  -32.7	    86.4
N0179	14 15 58.55	+00 55 49.6	10.88	 0.788	309.00	 -230.2	   216.1
N0180	14 22 07.32	+01 25 05.8	11.41	 0.302	209.10	  -29.8	   -41.4
N0181	14 26 30.71	+02 07 17.8	11.08	 0.722	217.70	  -36.5	    66.5
N0182	14 11 04.07	+07 25 58.6	10.57	 0.612	255.60	 -116.3	   -67.5
N0183	14 31 09.50	+00 22 02.0	10.63	 0.739	203.80	  188.5	   -31.9
N0184	14 43 37.20	+02 19 58.1	10.39	 0.844	243.10	 -310.1	    89.1
N0185	14 46 29.10	+00 55 27.1	10.13	 0.716	288.90	 -145.1	    46.9
N0186	14 41 15.37	+05 11 28.8	11.16	 0.966	459.00	 -225.2	   328.0
N0187	14 41 15.48	+05 12 04.3	11.11	 1.263	275.70	  -52.0	   197.1
N0188	15 08 45.55	+06 01 22.8	10.98	 0.634	255.70	  101.7	   -27.9
N0189	15 53 38.55	+00 12 31.9	11.19	 0.296	203.70	  -66.1	     6.0
N0190	15 32 56.74	+05 30 30.2	10.54	 0.315	203.00	  -22.9	  -107.3
N0191	15 46 05.63	+05 05 07.9	11.11	 0.702	207.40	  145.5	  -273.3
N0192	15 32 07.59	+06 22 29.0	11.22	 0.562	213.10	 -311.0	  -249.4
N0193	15 42 02.30	+05 47 43.5	11.05	 0.589	361.00	 -143.2	    59.7
N0194	16 12 55.07	+00 28 28.0	11.50	 0.615	343.70	  322.6	  -106.6
N0195	16 10 09.03	+01 50 58.5	10.95	 0.685	201.50	   34.6	  -100.7
N0196	16 19 18.00	+00 23 01.8	10.75	 1.125	202.40	   57.8	    58.6
N0197	16 25 12.47	+00 16 48.2	10.50	 0.541	220.70	  121.9	   -89.1
N0198	16 03 50.21	+07 22 10.3	11.28	 0.614	330.50	 -338.2	  -133.1
N0199	16 34 13.11	+01 26 43.3	10.86	 0.688	282.80	  -54.9	  -102.7
