B0002	00 01 04.60	-48 48 35.5	 5.71	 0.911	  5.97	  -17.9	    -6.8
B0003	00 01 20.11	-50 20 14.6	 5.53	 1.615	  5.84	    7.3	    10.6
B0004	00 01 35.85	-77 03 55.1	 4.78	 1.254	 14.77	  -56.5	  -176.9
B0005	00 01 37.02	+61 13 22.1	 5.58	 0.407	  0.86	   -2.8	    -1.3
B0006	00 01 49.44	-03 01 38.9	 5.13	-0.128	  7.98	   18.9	   -10.2
B0007	00 01 57.59	-06 00 50.3	 4.37	 1.631	  7.86	   46.6	   -41.3
B0008	00 02 09.65	+27 05 04.2	 5.80	 0.690	 80.63	  778.6	  -918.7
B0009	00 02 19.91	-29 43 13.6	 5.04	-0.150	  6.40	    9.7	    14.0
B0010	00 02 29.76	+08 29 08.1	 5.70	 0.315	 26.53	  -93.5	   -47.5
B0011	00 02 36.08	+66 05 56.3	 5.87	 1.073	  1.57	    3.3	     1.1
B0012	00 03 44.37	-17 20 09.5	 4.55	-0.047	 14.31	   28.6	    -7.3
B0013	00 04 13.66	+62 17 15.6	 5.90	 0.274	  0.89	   -1.0	    -0.4
B0014	00 04 19.76	-16 31 44.0	 5.78	 1.084	 11.29	   53.8	   -60.3
B0015	00 04 30.12	-10 30 34.2	 4.99	 1.619	  2.03	   -6.5	   -11.9
B0016	00 04 41.25	-71 26 12.7	 5.59	-0.100	  5.70	   30.0	   -13.6
B0017	00 04 41.84	+67 09 59.0	 5.68	 1.051	 10.30	   95.6	    23.8
B0018	00 05 06.13	+61 18 50.3	 5.80	-0.067	  4.50	   14.3	     2.2
B0019	00 05 20.15	-05 42 28.2	 4.61	 1.029	 25.38	   -8.3	    88.2
B0020	00 05 41.94	+13 23 46.6	 5.55	 0.901	  8.75	   42.6	    -6.5
B0021	00 06 15.54	+58 26 12.1	 5.98	 0.687	 49.30	  247.4	    17.8
B0022	00 06 18.66	-49 04 30.3	 5.70	 0.519	 39.00	  575.2	   -39.9
B0023	00 06 26.53	+64 11 46.2	 5.57	-0.023	  3.32	    9.7	     0.0
B0024	00 07 46.86	-22 30 30.5	 5.93	 0.141	 12.45	   70.1	   -34.7
B0025	00 08 03.52	-33 31 45.6	 5.67	 1.119	 10.02	  -42.8	     3.1
