Time,SurfWaterMass,EruptionRate,TMan,MagMom
0.0,1.864983,3221604000000000.0,2976.163,0.0
0.01,1.657204,42274070000.0,2515.928065,0.0
0.02,1.44577,23387860000.0,2488.819349,0.0
0.03,1.234176,17165400000.0,2472.629132,0.0
0.04,1.022522,13953160000.0,2461.071795,0.0
0.05,0.810824,11961120000.0,2452.1675,0.0
0.06,0.601379,10593700000.0,2445.004514,0.0
0.07,0.396046,9591436000.0,2439.079263,0.0
0.08,0.194492,8821355000.0,2434.081958,0.0
0.09,0.009163,8205319000.0,2429.809122,0.0
0.1,0.000396,7700769000.0,2426.120875,0.0
0.11,0.000375,7285598000.0,2422.908554,0.0
0.12,0.000358,6938572000.0,2420.087635,0.0
0.13,0.000343,6644455000.0,2417.59295,0.0
0.14,0.000329,6392220000.0,2415.373262,0.0
0.15,0.000317,6173716000.0,2413.387576,0.0
0.16,0.000305,5982734000.0,2411.602596,0.0
0.17,0.000294,5814522000.0,2409.990931,0.0
0.18,0.000284,5665326000.0,2408.529803,0.0
0.19,0.000275,5532155000.0,2407.200085,0.0
0.2,0.000266,5412593000.0,2405.985587,0.0
0.21,0.000258,5304700000.0,2404.872503,0.0
0.22,0.000251,5206838000.0,2403.848984,0.0
0.23,0.000243,5117680000.0,2402.904805,0.0
0.24,0.000236,5036099000.0,2402.031097,0.0
0.25,0.00023,4961142000.0,2401.22013,0.0
0.26,0.000223,4892004000.0,2400.465145,0.0
0.27,0.000217,4827999000.0,2399.760205,0.0
0.28,0.000212,4768536000.0,2399.100081,0.0
0.29,0.000206,4713101000.0,2398.480153,0.0
0.3,0.000201,4661258000.0,2397.896329,0.0
0.31,0.000196,4612617000.0,2397.344976,0.0
0.32,0.000191,4566840000.0,2396.822858,0.0
0.33,0.000186,4523642000.0,2396.327094,0.0
0.34,0.000182,4482755000.0,2395.855106,0.0
0.35000000000000003,0.000178,4443951000.0,2395.40459,0.0
0.36,0.000173,4407030000.0,2394.97348,0.0
0.37,0.000169,4371814000.0,2394.559923,0.0
0.38,0.000165,4338140000.0,2394.162253,0.0
0.39,0.000162,4305867000.0,2393.778972,0.0
0.4,0.000158,4274872000.0,2393.408731,0.0
0.41000000000000003,0.000155,4245038000.0,2393.050313,0.0
0.42,0.000151,4216262000.0,2392.70262,0.0
0.43,0.000148,4188459000.0,2392.364664,0.0
0.44,0.000145,4161539000.0,2392.035547,0.0
0.45,0.000142,4135436000.0,2391.714461,0.0
0.46,0.000139,4110083000.0,2391.400674,0.0
0.47000000000000003,0.000136,4085418000.0,2391.093522,0.0
0.48,0.000133,4061384000.0,2390.792405,0.0
0.49,0.00013,4037939000.0,2390.496779,0.0
0.5,0.000127,4015035000.0,2390.206152,0.0
0.51,0.000125,3992632000.0,2389.920075,0.0
0.52,0.000122,3970695000.0,2389.638143,0.0
0.53,0.00012,3949192000.0,2389.359988,0.0
0.54,0.000117,3928091000.0,2389.085276,0.0
0.55,0.000115,3907365000.0,2388.813705,0.0
0.56,0.000113,3886992000.0,2388.544998,0.0
0.5700000000000001,0.000111,3866946000.0,2388.278906,0.0
0.58,0.000109,3847212000.0,2388.015203,0.0
0.59,0.000107,3827765000.0,2387.753681,0.0
0.6,0.000105,3808589000.0,2387.494155,0.0
0.61,0.000103,3789670000.0,2387.236453,0.0
0.62,0.000101,3770996000.0,2386.980423,0.0
0.63,9.878345e-05,3752551000.0,2386.725924,0.0
0.64,9.696521e-05,3734323000.0,2386.472829,0.0
0.65,9.51929e-05,3716303000.0,2386.221024,0.0
0.66,9.346505e-05,3698479000.0,2385.970402,0.0
0.67,9.178023e-05,3680842000.0,2385.72087,0.0
0.68,9.013708e-05,3663386000.0,2385.472342,0.0
0.6900000000000001,8.85343e-05,3646099000.0,2385.22474,0.0
0.7000000000000001,8.697064e-05,3628976000.0,2384.977994,0.0
0.71,8.544488e-05,3612014000.0,2384.732039,0.0
0.72,8.395589e-05,3595201000.0,2384.486818,0.0
0.73,8.250254e-05,3578534000.0,2384.242279,0.0
0.74,8.108378e-05,3562009000.0,2383.998375,0.0
0.75,7.969857e-05,3545620000.0,2383.755064,0.0
0.76,7.834594e-05,3529362000.0,2383.512306,0.0
0.77,7.702492e-05,3513231000.0,2383.270068,0.0
0.78,7.573461e-05,3497225000.0,2383.028319,0.0
0.79,7.447412e-05,3481341000.0,2382.787031,0.0
0.8,7.32426e-05,3465571000.0,2382.546178,0.0
