# Time	Blue	BlueSD	Red	RedSD
202.6288	0.4887	0.117	0.4949	0.02505
205.7931	0.2359	0.0286	0.2853	0.027
206.8021	0.1545	0.02127	0.205	0.02149
209.823	-0.09302	0.01784	-0.04896	0.0181
210.8108	-0.1567	0.02407	-0.08673	0.02181
211.7849	-0.2108	0.01502	-0.1717	0.01477
212.6712	-0.1954	0.02964	-0.1785	0.02545
213.7561	-0.3363	0.02445	-0.246	0.02152
218.7758	0.08443	0.02064	-0.03662	0.01895
219.8242	0.1792	0.02477	0.0266	0.02019
220.776	0.2601	0.02734	0.1041	0.02319
226.7787	0.3539	0.02577	0.3848	0.02321
228.7733	-0.007334	-99	0.3152	0.02762
232.6753	-0.1112	-0.01489	0.01114	-99
233.758	-0.2601	0.01408	0.01114	-99
259.6066	-0.1721	0.01387	-0.09843	0.01511
261.618	-0.2756	0.01624	-0.2038	0.01618
261.6642	-0.3189	-0.01431	-0.2432	0.01538
261.7043	-0.2742	0.01475	-0.2404	0.01596
261.7801	-0.2921	0.01908	-0.2198	0.01805
262.5851	-0.3107	0.01229	-0.2752	0.01335
264.6492	-0.335	0.02115	-0.3008	0.01884
265.7041	-0.2216	-0.01482	-0.2719	0.01386
269.7287	0.3403	0.0212	0.1754	0.01912
271.7101	0.4256	0.02543	0.3225	0.02285
272.6892	0.4914	0.02245	0.4171	0.02089
272.692	0.4805	0.02342	0.4448	0.02227
272.7019	0.5038	0.0252	0.4106	0.02295
272.7082	0.5262	0.02249	0.4106	0.02079
273.7376	0.5403	0.02506	0.4771	0.02337
278.7684	0.2394	0.02603	0.3335	0.02989
278.7747	0.2497	0.01977	0.325	0.01994
283.5562	-0.3591	0.02091	-0.1905	0.01645
283.6081	-0.3626	0.01718	-0.1838	0.01554
284.5422	-0.4149	0.01764	-0.2705	0.01532
285.4272	-0.4635	0.01055	-0.3463	0.0113
285.5365	-0.5048	0.01146	-0.3763	0.01149
285.6634	-0.5093	0.01065	-0.3763	0.01078
286.5452	-0.5667	0.009711	-0.4507	0.01045
291.7264	-0.3018	0.0172	-0.2812	0.0156
292.5784	-0.1849	0.02796	-0.2111	0.02315
293.6626	-0.05463	0.01686	-0.09343	0.01617
295.6912	0.1749	0.01768	0.1733	0.01699
296.5012	0.2659	0.01951	0.2377	0.01908
297.477	0.3292	0.02049	0.3274	0.02046
300.6967	0.471	0.03964	0.4528	0.03469
304.4445	0.2894	-0.023	0.3225	0.02152
305.4802	0.2257	0.01994	0.2422	0.01915
306.4279	0.1387	0.02098	0.183	0.01983
306.663	0.1179	0.01769	0.1765	0.01734
307.4311	0.06267	0.03467	0.1194	-0.02757
308.4151	-0.03172	0.02101	0.02471	0.01888
308.6136	-0.02636	0.01632	0.001382	0.01584
309.7462	-0.06675	0.01776	-0.03306	0.01725
310.4586	-0.1274	0.01661	-0.08757	0.01577
310.6732	-0.1378	0.01538	-0.1124	0.01444
312.524	-0.1812	-0.05108	-0.206	-0.03543
314.5944	-0.2245	0.01969	-0.2522	0.01676
315.4567	-0.1879	0.01496	-0.2549	0.01373
316.4889	-0.1346	0.01495	-0.2068	0.01371
316.6468	-0.1202	0.01731	-0.1709	0.01389
318.5465	0.001844	0.01731	-0.06803	0.01562
318.6713	0	0.01784	-0.02141	0.01508
324.5791	0.3452	0.02734	0.3759	0.02619
324.7026	0.4164	0.02696	0.3874	0.02556
325.6285	0.3715	0.02021	0.3912	0.0205
326.4835	0.3804	0.02078	0.381	0.02079
341.6338	-0.3919	0.01984	-0.3384	0.0168
342.4685	-0.3063	0.01924	-0.2812	0.01611
342.607	-0.2769	0.01949	-0.2645	0.01596
342.7129	-0.2532	0.01518	-0.2383	0.01359
343.4633	-0.1567	0.01554	-0.177	0.01422
343.5872	-0.1218	0.01785	-0.1586	0.01501
343.7243	-0.08967	0.01912	-0.1302	0.01551
344.6893	0.06267	0.02232	0.02188	0.01823
344.7082	0.04809	0.01756	-0.01145	0.01524
344.7263	0.08543	0.01766	-0.002301	0.01538
350.7406	0.6398	-0.03333	0.6136	-0.03501
351.5138	0.6444	0.02601	0.6361	0.02522
360.6562	-0.1827	0.0137	-0.1294	0.01416
360.6682	-0.1819	0.01414	-0.1214	0.01472
361.463	-0.2414	0.01353	-0.177	0.01422
361.588	-0.2546	-0.03261	-0.2126	-0.02701
361.5927	-0.2573	0.02736	-0.192	0.02371
361.5975	-0.2635	0.02342	-0.2075	0.02198
361.636	-0.2449	0.01535	-0.1845	0.01552
362.4929	-0.2635	0.01273	-0.2162	0.01313
362.6085	-0.2855	0.01101	-0.239	0.01204
362.6512	-0.258	0.01282	-0.2263	0.01259
362.7226	-0.2762	0.01333	-0.2453	0.01265
364.4764	-0.3164	0.01112	-0.3021	0.01104
364.6041	-0.3132	0.01151	-0.2806	0.01171
364.6543	-0.2973	0.01112	-0.3117	0.0112
365.4652	-0.2802	0.01416	-0.2911	0.01349
365.6597	-0.247	0.01262	-0.3129	0.01187
366.5975	-0.1652	0.01697	-0.2611	0.01502
372.5016	0.4243	0.02541	0.3483	0.0226
373.4388	0.4441	0.02174	0.4145	0.02129
373.5526	0.4655	0.02259	0.4028	0.02067
373.6763	0.4805	0.02282	0.4368	0.02163
375.4404	0.4983	0.02255	0.4812	0.02183
375.5504	0.49	0.02357	0.5255	0.02296
375.6682	0.4914	0.0236	0.4771	0.02223
377.4544	0.4035	0.02283	0.4119	0.02234
377.6339	0.4125	0.03166	0.39	0.02646
378.4436	0.3378	0.01972	0.3583	0.02002
378.6355	0.317	0.02084	0.3335	0.02055
379.4413	0.2303	0.02002	0.2912	0.02043
380.4798	0.1251	0.02603	0.1962	0.02431
380.6289	0.09245	0.01777	0.1722	0.01854
381.4331	0.005542	0.01591	0.09799	0.01692
383.4504	-0.2736	0.01217	-0.1516	0.0138
383.6344	-0.3031	0.01464	-0.1694	0.0153
384.4443	-0.3561	0.01537	-0.257	0.01461
384.6121	-0.4041	0.01172	-0.2712	0.01259
387.5243	-0.007334	-99	-0.5234	0.008781
387.6142	-0.6332	0.007214	-0.5295	0.007885
388.5296	-0.6181	0.01538	-0.5431	0.01491
388.6131	-0.624	0.01579	-0.5621	0.01429
391.619	-0.3344	0.01639	-0.3173	0.01481
391.7521	-0.3183	0.02804	-0.3072	0.02261
392.4391	-0.2223	0.01303	-0.2418	0.01271
392.5699	-0.2158	0.01276	-0.2177	0.01238
393.4424	-0.1063	0.01646	-0.1366	0.0159
393.6028	-0.07274	0.01509	-0.09926	0.01425
395.477	0.2303	0.01852	0.1787	0.01774
395.5958	0.2474	0.01838	0.1973	0.01765
397.5304	0.4777	0.02404	0.4595	0.0225
397.713	0.5389	0.02435	0.4798	0.02227
398.4433	0.5488	0.02331	0.5059	0.02219
398.5886	0.6278	0.02399	0.551	0.02245
401.4381	0.5191	0.0271	0.5045	0.0238
401.7566	-0.007334	-99	0.5367	0.02831
402.4698	0.4629	0.02255	0.488	0.02193
402.5029	0.4887	0.02295	0.4528	0.02187
402.6851	0.4696	0.02463	0.4368	0.02215
406.4399	0.12	0.01772	0.1604	0.01789
408.4608	-0.0406	0.01887	-0.04457	0.0176
409.4364	-0.1169	0.01681	-0.09093	0.01622
409.5539	-0.1682	0.04371	-0.1157	0.03258
411.486	-0.2351	0.0121	-0.1928	0.01244
412.5629	-0.2518	0.01472	-0.2376	0.0136
413.6426	-0.2566	0.01831	-0.2786	0.01617
414.4222	-0.223	-0.01343	-0.239	0.01275
414.6533	-0.1961	0.01347	-0.2542	0.01213
417.4818	0.02612	0.0172	-0.07402	0.01552
417.6842	0.03371	0.02101	-0.06632	0.01777
418.6203	0.1117	0.02048	-0.02501	0.01739
419.4413	0.2089	0.01913	0.08993	0.01724
420.4388	0.3183	0.01943	0.1918	0.01756
420.5401	0.3366	0.02115	0.1984	-0.01847
421.6039	0.3354	0.02714	0.2759	0.02428
422.4231	0.3983	0.02105	0.3596	0.02046
422.5291	0.4322	0.02156	0.3658	0.02013
423.5797	0.4269	-0.03734	0.3977	-0.03234
424.4889	0.471	0.02893	0.4743	0.0263
425.4192	0.4602	0.0231	0.4894	0.02296
425.5226	0.4602	0.02251	0.4568	0.02193
426.4189	0.4335	0.02268	0.4703	0.02213
426.5605	0.4243	0.02253	0.4488	0.02292
427.5826	0.3256	0.02364	0.3989	0.02344
428.4154	0.2847	0.0209	0.3521	0.02084
430.5249	-0.007334	-99	0.1308	0.01954
432.6515	-0.1894	0.02058	-0.03927	0.01714
435.4065	-0.4644	0.01125	-0.3242	0.01168
436.4164	-0.5433	0.009282	-0.4125	0.01015
437.3997	-0.5975	0.008455	-0.493	0.008761
437.5267	-0.5574	0.07973	-0.428	0.05746
437.6433	-0.5835	0.0129	-0.5145	0.0102
438.4022	-0.6142	0.007843	-0.5073	0.008257
438.5828	-0.6045	0.01004	-0.5131	0.008969
439.4002	-0.5484	0.0098	-0.4482	0.009843
441.4994	-0.2953	0.01257	-0.2759	0.01146
441.6364	-0.2776	0.01421	-0.2651	0.01231
442.4337	-0.1961	0.01308	-0.1724	0.01276
442.6195	-0.1636	0.01361	-0.1785	0.01266
443.5042	-0.0753	0.01598	-0.08757	0.01444
444.3941	0.05099	0.01936	0.004152	0.01735
444.5359	0.08243	0.01931	0.02849	0.01724
445.4512	0.228	0.01848	0.1657	0.01718
446.405	0.3268	0.02045	0.3032	0.01921
446.556	0.3791	0.02076	0.3286	0.01923
451.3908	0.4832	0.02347	0.4921	0.02246
451.5277	0.515	0.02702	0.499	0.0259
452.382	0.4615	0.02449	0.4555	0.02303
452.6425	0.4629	0.02784	0.4474	0.02501
453.4326	0.3753	0.02238	0.4041	0.02113
453.5773	0.3932	0.02408	0.39	0.02142
454.4226	0.299	0.02177	0.3116	0.02075
455.6689	0.2717	0.02671	0.263	0.02253
457.4886	0.06365	0.01731	0.08993	0.0164
459.438	-0.07615	0.02346	-0.07061	0.01828
460.3781	-0.1879	0.02854	-0.1278	0.02148
460.5019	-0.1567	0.03179	-0.1157	0.02111
461.4197	-0.1636	0.01815	-0.1671	0.01534
462.4048	-0.2049	0.01564	-0.1965	0.01433
463.4119	-0.1946	0.01437	-0.2177	0.01311
463.5302	-0.2108	0.01658	-0.2119	0.01452
464.532	-0.1582	0.01501	-0.214	0.01317
469.4035	0.2179	0.02172	0.1277	0.01949
470.3718	0.28	0.01973	0.1951	0.01799
472.372	0.3219	0.02151	0.3274	0.02046
473.3751	0.3564	0.02146	0.3658	0.02056
473.4812	0.3627	0.02051	0.3658	0.02013
474.3769	0.3842	0.02083	0.4145	0.02085
474.5043	0.3957	0.02101	0.3977	0.0206
475.3844	0.3893	0.02048	0.4355	0.02116
475.4771	0.3983	0.02155	0.4421	0.02171
476.3645	0.3602	0.02047	0.4289	0.02106
476.4659	0.369	0.02166	0.4236	0.02194
477.362	0.3329	0.02109	0.3887	0.02047
477.4651	0.3207	0.01988	0.3823	0.02037
478.3772	0.2451	0.01874	0.3335	0.01965
480.3733	0.0617	0.01727	0.1572	0.01784
480.4746	0.04906	0.01617	0.169	0.01723
481.5282	-0.04852	0.01594	0.06512	0.01642
483.4546	-0.2802	0.01562	-0.1539	0.01509
483.5582	-0.2907	0.0149	-0.1555	0.01459
484.3706	-0.3737	-0.0105	-0.239	0.01204
484.525	-0.3632	0.01382	-0.239	0.01315
485.3768	-0.457	0.01141	-0.3304	0.01157
486.4098	-0.5192	0.01569	-0.4087	0.01283
488.4375	-0.5429	0.02402	-0.44	0.01689
489.3818	-0.456	0.01143	-0.3961	0.01044
491.3675	-0.2715	0.01433	-0.2508	0.0138
492.528	-0.1022	0.01825	-0.1539	0.01509
494.3704	0.1005	0.01844	0.03133	0.01678
495.3521	-0.007334	-99	0.1582	0.01941
497.3512	0.4048	0.02286	0.3861	0.02086
499.3788	0.4468	0.03039	0.4703	0.02892
500.3589	0.5011	0.02375	0.4635	0.02256
501.358	0.4642	0.02257	0.4528	0.02187
502.3934	0.4112	0.02124	0.4236	0.02098
503.3527	0.3207	0.02089	0.3286	0.02
504.3569	0.2156	0.01923	0.2759	0.0192
504.8163	0.1535	0.02195	0.2331	0.02131
507.3967	-0.05027	0.02485	-0.00597	0.023
508.4951	-0.1266	0.02492	-0.06546	0.02162
509.48	-0.1939	0.02172	-0.1366	0.01935
510.416	-0.2302	0.0133	-0.1732	0.01308
511.3531	-0.2749	-0.01215	-0.2291	0.0122
511.8122	-0.2953	0.01298	-0.2383	0.01205
512.3419	-0.2881	0.01158	-0.2624	0.01167
515.4044	-0.202	0.02088	-0.2563	0.01614
517.3567	0.1858	0.03289	-0.001382	0.02459
517.7624	0.3403	-0.03301	0.02188	0.02364
518.771	0.2682	-0.03619	0.1236	0.02518
519.7548	-0.003677	-0.06036	0.155	-0.03113
520.3519	0.406	0.02288	0.2445	0.01918
520.7558	0.5502	-0.03474	0.2491	0.02539
521.3458	0.4629	0.02202	0.3213	0.01947
522.3423	0.4521	-0.05974	0.3861	-0.05225
522.7563	1.082	-0.1411	0.4703	-0.105
523.3412	0.529	0.02642	0.4839	0.02414
524.8136	0.515	0.02702	0.5353	0.02498
527.8278	0.2428	-0.04685	0.3684	-0.04015
528.757	0.145	-0.0704	0.3189	-0.06
529.3408	0.1706	0.01962	0.2665	0.01952
529.753	0.0985	0.01959	0.2084	0.01912
530.3485	0.03848	0.01643	0.155	0.01738
531.3421	-0.1721	0.02702	0.04472	0.02898
532.3878	-0.2749	0.02366	-0.1547	0.02018
533.3466	-0.4144	0.01487	-0.3167	0.01483
533.8035	-0.4335	0.02184	-0.3588	0.02092
534.3461	-0.5667	0.02086	-0.4232	0.02125
538.3398	-0.7223	-0.04391	-0.6894	-0.03574
538.7568	-0.6991	0.02366	-0.614	0.0196
539.382	-0.612	0.01202	-0.5617	0.0108
539.7298	-0.5797	0.02135	-0.5181	0.01899
540.3441	-0.4708	0.01111	-0.4472	0.009861
540.7508	-0.4288	0.0128	-0.4016	0.01216
541.3425	-0.3399	0.01342	-0.3298	0.01235
541.7375	-0.3075	0.01812	-0.2878	0.01596
542.3935	-0.1931	0.01987	-0.18	0.01613
542.715	-0.1675	0.02376	-0.1524	0.02088
543.4146	-0.1202	0.07876	0.1267	0.05126
544.8323	0.219	0.02246	0.1466	0.01981
545.8076	0.293	0.01993	0.302	0.0196
546.3419	0.3868	0.02913	0.3759	0.02535
546.7535	0.3829	0.0225	0.3823	0.02131
548.7339	0.655	-0.04723	0.4408	0.03229
549.3392	0.5248	0.02555	0.4921	0.023
553.3441	0.2894	0.023	0.3311	0.02231
555.6757	0.1631	0.02364	0.1984	0.02138
556.6965	0.06267	0.02232	0.08793	0.02004
557.3459	0.01111	0.01924	0.04665	0.01809
557.6644	-0.01916	0.01807	0.01812	0.01759
558.3595	-0.01644	0.02807	-0.04192	0.02217
558.8109	-0.09967	0.01465	-0.04016	0.01519
559.7428	-0.1682	0.02508	-0.1009	0.02283
559.831	-0.1226	0.01616	-0.09677	0.01611
560.6437	-0.169	0.03275	-0.164	0.02658
560.7698	-0.1441	0.01629	-0.1398	0.01585
561.3563	-0.1426	0.01529	-0.1366	0.01492
561.7139	-0.1812	0.02017	-0.1793	0.01781
562.3528	-0.1796	0.01511	-0.1686	0.01437
563.3439	-0.1621	0.01595	-0.2205	0.0139
563.7478	-0.1465	0.02233	-0.2212	0.01859
565.3679	-0.05376	0.01923	-0.1724	0.01575
565.6329	-0.09468	0.01964	-0.1778	0.01671
566.6413	-0.02994	0.01787	-0.1254	0.0156
568.8152	0.1117	0.02335	0.002304	0.01971
571.6551	0.293	0.02167	0.2263	0.01995
571.8237	0.2753	0.02018	0.2286	0.01944
572.605	0.3428	0.0232	0.2829	0.0203
573.6393	0.3195	0.02431	0.3323	0.02233
573.8315	0.3292	0.02163	0.3372	0.02176
576.6665	0.3465	0.02648	0.2912	0.02231
576.7971	0.2485	0.01975	0.308	0.02016
577.8331	0.1397	-0.02894	0.2241	0.02656
578.6018	-0.4669	-0.04143	0.17	0.02622
578.822	0.08743	0.0194	0.182	0.01923
578.8316	0.1076	0.02179	0.2039	0.02081
580.6235	-0.02096	-0.02411	0.04761	0.01869
580.8222	-0.03883	0.01714	0.04954	0.0166
581.6221	-0.07189	-0.01949	-0.01145	0.01708
584.8008	-0.4515	-0.0491	-0.3249	0.03789
585.6108	-0.4387	0.02358	-0.3564	0.01889
585.817	-0.4469	0.0124	-0.3588	0.0122
586.5894	-0.4747	0.02025	-0.4114	0.01727
586.8148	-0.4979	0.02461	-0.4168	0.02099
587.6005	-0.5161	0.01824	-0.4602	0.01584
587.8179	-0.4946	0.01061	-0.4369	0.01108
588.6314	-0.5066	0.01253	-0.428	0.01163
589.7524	-0.5111	-0.05134	-0.439	-0.0436
591.7407	-0.2057	0.02725	-0.2263	0.0227
592.5808	-0.08378	0.02838	-0.1578	0.02269
592.7999	-0.06244	0.02169	-0.1173	0.01854
593.5667	-0.01099	-0.03644	-0.04808	-0.03027
593.7986	0.1046	0.02035	0.02944	0.01779
594.5767	0.2123	0.02032	0.1225	0.01776
595.5666	0.2729	0.02133	0.2128	0.01869
595.8057	0.3366	0.02175	0.2252	0.01888
596.5834	0.1978	-0.06615	0.2388	-0.0467
597.6674	-0.007334	-99	0.3201	-0.09304
597.7841	0.4508	0.02431	0.3785	0.02243
597.8022	0.4615	0.02449	0.3964	0.02209
598.5636	0.5531	0.0277	0.4328	0.02401
599.5488	0.4928	0.02429	0.4555	0.02243
600.5507	0.4243	0.02541	0.4541	0.02301
601.5289	0.4296	0.02633	0.4368	0.02273
601.8234	0.3944	0.02269	0.3887	0.0214
602.7496	0.2847	0.0222	0.314	0.02079
603.7822	0.2348	0.01954	0.27	0.01911
