_RAJ2000;_DEJ2000;ID;Bmag;e_Bmag;Vmag;e_Vmag;Imag;e_Imag
322.65333;+12.12536;      2;19.514; 0.005;19.021; 0.007;18.411; 0.010
322.65271;+12.04764;      4;19.382; 0.005;17.960; 0.004;16.507; 0.004
322.65312;+12.16878;      6;20.279; 0.009;19.763; 0.011;19.114; 0.014
322.65279;+12.09572;      8;18.317; 0.003;17.506; 0.003;16.808; 0.005
322.65287;+12.12203;      9;21.250; 0.016;20.709; 0.026;19.980; 0.034
322.65258;+12.10200;     10;18.118; 0.002;17.555; 0.003;16.911; 0.004
322.65250;+12.08264;     12;20.074; 0.009;19.521; 0.009;18.999; 0.013
322.65217;+12.12183;     19;20.630; 0.009;20.090; 0.012;19.446; 0.023
322.65217;+12.13333;     20;14.909; 0.002;14.120; 0.002;13.333; 0.003
322.65212;+12.13847;     21;20.950; 0.012;19.378; 0.009;17.174; 0.005
322.65179;+12.08253;     22;19.972; 0.009;19.423; 0.009;18.898; 0.012
322.65146;+12.12981;     25;19.939; 0.007;19.456; 0.009;18.809; 0.011
322.65083;+12.07444;     29;16.258; 0.002;14.967; 0.002;13.675; 0.003
322.65087;+12.10247;     31;20.730; 0.009;20.152; 0.010;19.507; 0.016
322.65083;+12.08892;     32;19.144; 0.008;18.151; 0.005;17.132; 0.008
322.65046;+12.03292;     34;20.441; 0.015;19.836; 0.010;19.246; 0.015
322.65062;+12.12797;     40;20.333; 0.007;19.791; 0.013;19.125; 0.016
322.65062;+12.14250;     42;20.654; 0.009;20.123; 0.012;19.437; 0.019
322.65037;+12.14611;     46;20.934; 0.013;20.385; 0.018;19.612; 0.025
322.65012;+12.08822;     47;14.674; 0.002;13.738; 0.002;12.979; 0.004
322.65004;+12.12742;     49;19.333; 0.004;18.832; 0.006;18.186; 0.006
322.64967;+12.10514;     53;20.699; 0.008;19.205; 0.005;17.363; 0.005
322.64967;+12.12319;     54;20.646; 0.009;19.631; 0.010;18.476; 0.009
322.64967;+12.11864;     55;20.456; 0.009;19.940; 0.012;19.319; 0.017
322.64921;+12.15253;     58;19.972; 0.008;19.483; 0.009;18.851; 0.013
322.64867;+12.05897;     59;18.810; 0.004;17.745; 0.004;16.728; 0.004
322.64842;+12.16914;     62;21.158; 0.015;20.568; 0.021;19.831; 0.026
322.64746;+12.08128;     65;18.354; 0.003;17.597; 0.004;16.847; 0.006
322.64775;+12.13503;     67;20.919; 0.012;20.353; 0.018;19.667; 0.023
322.64779;+12.17342;     69;18.778; 0.004;17.968; 0.005;17.119; 0.004
322.64771;+12.16042;     70;21.077; 0.015;20.481; 0.018;19.702; 0.027
322.64725;+12.11514;     74;14.752; 0.001;13.493; 0.002;12.216; 0.004
322.64737;+12.17361;     76;20.596; 0.014;19.554; 0.011;18.385; 0.009
322.64708;+12.13625;     77;20.041; 0.006;19.553; 0.009;18.924; 0.012
322.64662;+12.12806;     83;18.993; 0.004;18.378; 0.005;17.603; 0.005
322.64604;+12.07614;     88;19.429; 0.006;18.876; 0.007;18.340; 0.008
322.64637;+12.17511;     89;18.343; 0.003;18.122; 0.007;17.820; 0.006
322.64617;+12.15447;     90;18.667; 0.004;17.993; 0.005;17.132; 0.005
322.64562;+12.07050;     92;20.861; 0.019;19.404; 0.009;17.701; 0.006
322.64542;+12.02569;     93;21.096; 0.020;20.412; 0.018;19.876; 0.038
322.64500;+12.09531;     98;21.248; 0.013;20.672; 0.014;19.977; 0.023
322.64458;+12.04794;     99;20.556; 0.014;19.985; 0.014;19.340; 0.018
322.64442;+12.17839;    102;20.092; 0.009;19.566; 0.009;18.944; 0.012
322.64383;+12.15514;    106;20.307; 0.009;19.822; 0.010;19.203; 0.016
322.64362;+12.11458;    107;19.448; 0.004;18.928; 0.006;18.299; 0.008
322.64354;+12.10308;    108;21.230; 0.015;20.567; 0.014;19.855; 0.018
322.64337;+12.14822;    112;21.018; 0.011;20.511; 0.018;19.813; 0.028
322.64325;+12.12317;    113;20.044; 0.006;19.517; 0.008;18.854; 0.012
322.64329;+12.16919;    115;19.809; 0.007;19.300; 0.011;18.684; 0.011
322.64279;+12.11983;    116;18.848; 0.003;17.799; 0.003;16.652; 0.004
